dataid,building_type,city,pv,house_construction_year,total_square_footage,egauge_min_time,egauge_max_time,use,grid,gen
7800,Single-Family Home,Austin,yes,2008,2075,09/01/2012 19:00,12/31/2016 4:59,yes,yes,yes
7850,Single-Family Home,Austin,yes,2007,2345,05/15/2012 19:00,12/31/2016 2:35,yes,yes,yes
7863,Single-Family Home,Austin,yes,2009,1994,07/20/2012 19:00,03/05/2016 3:40,yes,yes,yes
7875,Single-Family Home,Austin,yes,2012,3028,01/25/2013 0:00,12/31/2016 2:34,yes,yes,yes
7900,Single-Family Home,Austin,yes,2009,2631.5,05/13/2014 19:00,12/31/2016 7:37,yes,yes,yes
7940,Single-Family Home,Austin,yes,2009,2214,12/11/2012 18:00,12/31/2016 7:59,yes,yes,yes
7965,Single-Family Home,Austin,yes,2009,3242,12/03/2013 0:00,12/31/2016 5:59,yes,yes,yes
7982,Single-Family Home,Austin,yes,2007,1720,02/22/2013 18:00,11/13/2014 17:59,yes,yes,yes
7989,Single-Family Home,Austin,yes,1973,2148,09/06/2012 19:00,12/31/2016 3:32,yes,yes,yes
8046,Single-Family Home,Austin,yes,1994,2740,08/11/2013 19:00,12/31/2016 4:59,yes,yes,yes
8047,Single-Family Home,Austin,yes,2009,3245,04/16/2013 0:00,04/07/2014 0:00,yes,yes,yes
8059,Single-Family Home,Austin,yes,2009,2006,08/23/2014 0:00,12/31/2016 4:59,yes,yes,yes
8084,Single-Family Home,Austin,yes,2008,2649,05/02/2012 19:00,12/31/2016 8:35,yes,yes,yes
8086,Single-Family Home,Austin,yes,2008,2919,01/13/2014 18:00,12/31/2016 7:59,yes,yes,yes
8092,Single-Family Home,Austin,yes,2006,1828,02/23/2013 18:00,12/31/2016 8:35,yes,yes,yes
8155,Single-Family Home,Austin,yes,2008,2471,05/02/2012 19:00,11/30/2015 4:31,yes,yes,yes
8156,Single-Family Home,Austin,yes,2008,2669,06/11/2014 0:00,12/31/2016 5:35,yes,yes,yes
8197,Single-Family Home,Austin,yes,1999,3951.5,09/28/2013 19:00,12/31/2016 7:59,yes,yes,yes
8236,Single-Family Home,Austin,yes,2008,1994,11/17/2012 18:00,12/31/2016 5:59,yes,yes,yes
8243,Single-Family Home,Austin,yes,2012,2216,06/20/2014 19:00,12/31/2016 4:59,yes,yes,yes
8419,Single-Family Home,Austin,yes,2009,2962,08/17/2012 19:00,12/31/2016 2:59,yes,yes,yes
8467,Single-Family Home,Austin,yes,2011,3165,04/21/2013 19:00,12/31/2016 2:59,yes,yes,yes
8597,Single-Family Home,Austin,yes,2008,2122,10/26/2012 19:00,10/21/2014 18:59,yes,yes,yes
8626,Single-Family Home,Austin,yes,2011,3959,05/15/2012 19:00,12/31/2016 7:33,yes,yes,yes
8645,Single-Family Home,Austin,yes,1981,1142,02/27/2013 0:00,12/31/2016 6:59,yes,yes,yes
8669,Single-Family Home,Austin,yes,2009,2919,07/20/2012 10:31,08/26/2016 6:59,yes,yes,yes
8741,Single-Family Home,Austin,yes,1953,1533,03/06/2013 18:00,09/14/2016 7:59,yes,yes,yes
8767,Single-Family Home,Austin,yes,2009,2240,03/14/2014 0:00,12/31/2016 2:59,yes,yes,yes
8829,Single-Family Home,Austin,yes,2008,2669,05/15/2012 19:00,12/31/2016 6:31,yes,yes,yes
8857,Single-Family Home,Austin,yes,1984,2559,02/20/2015 0:00,12/31/2016 5:59,yes,yes,yes
8872,Single-Family Home,Austin,yes,2008,1422,05/02/2012 1:00,06/10/2013 0:59,yes,yes,yes
8890,Single-Family Home,Austin,yes,2008,2194,05/02/2012 19:00,03/04/2016 2:59,yes,yes,yes
8967,Single-Family Home,Austin,yes,2007,2001,05/02/2012 19:00,10/21/2015 18:59,yes,yes,yes
8995,Single-Family Home,Austin,yes,,,08/08/2014 0:00,12/31/2016 2:33,yes,yes,yes
9001,Single-Family Home,Austin,yes,2007,2122,12/30/2014 0:00,12/31/2016 3:59,yes,yes,yes
9019,Single-Family Home,Austin,yes,1990,1613,09/20/2012 19:00,12/31/2016 8:59,yes,yes,yes
9052,Single-Family Home,Austin,yes,2008,2345,09/17/2012 19:00,12/31/2016 6:35,yes,yes,yes
9121,Single-Family Home,Austin,yes,2007,1981,09/17/2012 19:00,12/31/2016 2:33,yes,yes,yes
9134,Single-Family Home,Austin,yes,2007,2122,04/30/2014 0:00,12/31/2016 4:59,yes,yes,yes
9160,Single-Family Home,Austin,yes,2008,2310,05/02/2012 19:00,12/31/2016 4:59,yes,yes,yes
9235,Single-Family Home,Austin,yes,,2122,07/23/2015 9:51,12/31/2016 7:26,yes,yes,yes
9248,Single-Family Home,Austin,yes,2007,3754,11/15/2013 18:00,12/31/2016 8:35,yes,yes,yes
9278,Single-Family Home,Austin,yes,2009,3015,04/08/2014 19:00,11/22/2016 6:59,yes,yes,yes
9451,Single-Family Home,Austin,yes,2008,2710,05/02/2012 1:00,07/11/2013 0:59,yes,yes,yes
9509,Single-Family Home,Austin,yes,2007,2324,05/02/2012 19:00,02/05/2014 17:59,yes,yes,yes
9631,Single-Family Home,Austin,yes,2008,1544,05/15/2012 19:00,12/31/2016 4:31,yes,yes,yes
9647,Single-Family Home,Austin,yes,2001,2887,10/28/2013 19:00,12/31/2016 7:59,yes,yes,yes
9729,Single-Family Home,Austin,yes,2008,2196,10/22/2012 19:00,12/31/2016 8:59,yes,yes,yes
9737,Single-Family Home,Austin,yes,2001,5231,08/30/2012 19:00,12/31/2016 2:59,yes,yes,yes
9932,Single-Family Home,Austin,yes,1998,2177,05/31/2014 0:00,12/31/2016 4:59,yes,yes,yes
9935,Single-Family Home,Austin,yes,1997,4447,08/29/2014 0:00,12/31/2016 6:59,yes,yes,yes
9937,Single-Family Home,Austin,yes,1963,1923,10/30/2012 19:00,12/31/2016 7:59,yes,yes,yes
9939,Single-Family Home,Austin,yes,1951,1440,12/17/2012 18:00,12/31/2016 2:35,yes,yes,yes
9942,Single-Family Home,Austin,yes,1915,2050,09/14/2013 19:00,12/31/2016 7:33,yes,yes,yes
9971,Single-Family Home,Austin,yes,2009,2938,02/05/2014 18:00,12/31/2016 2:30,yes,yes,yes
9982,Single-Family Home,Austin,yes,2008,1422,10/24/2012 8:52,12/31/2016 5:59,yes,yes,yes
